(1.6, -0.3, 0.4),(0.0, 0.7, 0.0, 0.7)
(1.7, -0.3, 0.4),(0.0, 0.7, 0.0, 0.7)
(1.8, -0.3, 0.4),(0.0, 0.7, 0.0, 0.7)
(1.9, -0.3, 0.4),(0.0, 0.7, 0.0, 0.7)
(2.0, -0.3, 0.4),(0.0, 0.7, 0.0, 0.7)
(2.1, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.1, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.2, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.3, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.4, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.5, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.6, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.6, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.7, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.8, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(2.9, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.0, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.0, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.1, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.2, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.3, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.4, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.5, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.5, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.6, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.7, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.8, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(3.9, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.0, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.0, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.1, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.2, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.3, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.4, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.5, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.5, -0.3, 0.3),(0.0, 0.7, 0.0, 0.7)
(4.6, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(4.7, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(4.8, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(4.9, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.0, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.0, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.1, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.2, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.3, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.4, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.4, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.5, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.6, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.7, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.8, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.9, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(5.9, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.0, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.1, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.2, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.3, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.4, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.5, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.6, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.6, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.7, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.8, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(6.9, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(7.0, -0.3, 0.2),(0.0, 0.7, 0.0, 0.7)
(7.0, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.1, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.2, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.3, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.4, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.5, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.5, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.6, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.7, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.8, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(7.9, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.0, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.0, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.1, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.2, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.3, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.4, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.5, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.5, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.6, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.7, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.8, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(8.9, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.0, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.0, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.1, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.2, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.3, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.4, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.4, -0.3, 0.1),(0.0, 0.7, 0.0, 0.7)
(9.5, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(9.6, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(9.7, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(9.8, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(9.9, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(9.9, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.0, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.1, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.2, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.3, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.4, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.4, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.5, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.6, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.7, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.8, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.9, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(10.9, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.0, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.1, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.2, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.3, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.4, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.4, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.5, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.6, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.7, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.8, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.8, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(11.9, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(12.0, -0.3, 0.0),(0.0, 0.7, 0.0, 0.7)
(12.1, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.2, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.3, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.3, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.4, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.5, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.6, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.7, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.8, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.8, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(12.9, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.0, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.1, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.2, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.3, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.3, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.4, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.5, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.6, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.7, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.8, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.8, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(13.9, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.0, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.1, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.2, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.2, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.3, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.4, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.5, -0.3, -0.1),(0.0, 0.7, 0.0, 0.7)
(14.6, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(14.7, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(14.7, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(14.8, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(14.9, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.0, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.1, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.2, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.2, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.3, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.4, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.5, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.6, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.7, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.7, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.8, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(15.9, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.0, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.1, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.2, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.2, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.3, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.4, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.5, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.6, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.6, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.7, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.8, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(16.9, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(17.0, -0.3, -0.2),(0.0, 0.7, 0.0, 0.7)
(17.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.2, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.5, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.6, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.6, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.7, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.8, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(17.9, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.0, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.2, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.5, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.6, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.6, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.7, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.8, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.8, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(18.9, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.0, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.0, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.1, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.2, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.2, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.3, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.7)
(19.4, -0.3, -0.3),(0.0, 0.7, 0.0, 0.8)
(19.4, -0.3, -0.3),(0.0, 0.6, 0.0, 0.8)
(19.4, -0.3, -0.3),(0.0, 0.6, 0.0, 0.8)
(19.4, -0.3, -0.3),(0.0, 0.6, 0.0, 0.8)
(19.4, -0.3, -0.3),(0.0, 0.6, 0.0, 0.8)
(19.4, -0.3, -0.2),(0.0, 0.6, 0.0, 0.8)
(19.4, -0.3, -0.2),(0.0, 0.5, 0.0, 0.8)
(19.4, -0.3, -0.2),(0.0, 0.5, 0.0, 0.9)
(19.4, -0.3, -0.2),(0.0, 0.5, 0.0, 0.9)
(19.4, -0.3, -0.1),(0.0, 0.5, 0.0, 0.9)
(19.4, -0.3, -0.1),(0.0, 0.5, 0.0, 0.9)
(19.4, -0.3, -0.1),(0.0, 0.4, 0.0, 0.9)
(19.4, -0.3, 0.0),(0.0, 0.4, 0.0, 0.9)
(19.4, -0.3, 0.0),(0.0, 0.4, 0.0, 0.9)
(19.4, -0.3, 0.0),(0.0, 0.4, 0.0, 0.9)
(19.4, -0.3, 0.1),(0.0, 0.4, 0.0, 0.9)
(19.4, -0.3, 0.1),(0.0, 0.3, 0.0, 0.9)
(19.4, -0.3, 0.2),(0.0, 0.3, 0.0, 1.0)
(19.4, -0.3, 0.2),(0.0, 0.3, 0.0, 1.0)
(19.4, -0.3, 0.3),(0.0, 0.3, 0.0, 1.0)
(19.4, -0.3, 0.3),(0.0, 0.3, 0.0, 1.0)
(19.4, -0.3, 0.4),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.4),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.5),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.5),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.6),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.7),(0.0, 0.2, 0.0, 1.0)
(19.4, -0.3, 0.7),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 0.8),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 0.9),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.0),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.0),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.1),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.2),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.3),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.4),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.4),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.5),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.6),(0.0, 0.1, 0.0, 1.0)
(19.4, -0.3, 1.7),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 1.8),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 1.9),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 1.9),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.0),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.1),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.2),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.3),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.4),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.4),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.5),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.6),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.7),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.8),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.9),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 2.9),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.0),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.1),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.2),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.3),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.4),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.4),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.5),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.6),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.7),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.8),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.8),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 3.9),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 4.0),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 4.1),(0.0, 0.0, 0.0, 1.0)
(19.4, -0.3, 4.2),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.3),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.3),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.4),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.5),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.6),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.7),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.8),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.8),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 4.9),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.0),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.1),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.2),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.3),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.3),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.4),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.5),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.6),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.3, 5.7),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.2, 5.8),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.2, 5.8),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.2, 5.9),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.2, 6.0),(0.0, 0.0, 0.0, 1.0)
(19.5, -0.1, 6.1),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.1, 6.2),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.2, 6.3),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.3, 6.3),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.5, 6.4),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.6, 6.5),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.7, 6.6),(0.0, 0.0, 0.0, 1.0)
(19.5, 0.9, 6.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.0, 6.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.1, 6.8),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 6.9),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.0),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.1),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.2),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.2),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.3),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.4),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.5),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.6),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.8),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 7.9),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.0),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.1),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.2),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.2),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.3),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.4),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.5),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.6),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.7),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.8),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.3, 8.9),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.4, 9.0),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.6, 9.1),(0.0, 0.0, 0.0, 1.0)
(19.5, 1.7, 9.2),(0.0, 0.0, 0.0, 1.0)
